time_sec,cos_sim_adjacent
1.000000,0.982657
2.000000,0.614002
3.000000,0.739736
4.000000,0.925498
5.000000,0.739423
6.000000,0.710292
7.000000,0.991871
8.000000,0.868435
9.000000,0.766401
10.000000,0.712070
11.000000,0.882982
12.000000,0.760509
13.000000,0.961792
14.000000,0.806008
15.000000,0.621500
16.000000,0.673560
17.000000,0.952961
18.000000,0.972455
19.000000,0.802456
20.000000,0.931624
21.000000,0.489425
22.000000,0.810608
23.000000,0.860029
24.000000,0.928713
25.000000,0.681078
26.000000,0.899681
27.000000,0.935180
28.000000,0.679403
29.000000,0.882092
30.000000,0.834698
31.000000,0.974206
32.000000,0.748821
33.000000,0.693863
34.000000,0.688793
35.000000,0.883050
36.000000,0.926162
37.000000,0.773063
38.000000,0.912664
39.000000,0.550646
40.000000,0.831112
41.000000,0.679809
42.000000,0.994854
43.000000,0.695572
44.000000,0.727253
45.000000,0.737907
46.000000,0.677156
47.000000,0.769076
48.000000,0.954298
49.000000,0.788231
50.000000,0.776966
51.000000,0.951178
52.000000,0.725097
53.000000,0.975787
54.000000,0.702772
55.000000,0.454177
56.000000,1.000000
