time_sec,cos_sim_adjacent
1.001000,0.905395
2.002000,0.665232
3.003000,0.777540
4.004000,0.919118
5.005000,0.658983
6.006000,0.648613
7.007000,0.894429
8.008000,0.864162
9.009000,0.982935
10.010000,0.832998
11.011000,0.890919
12.012000,0.690566
13.013000,0.675235
14.014000,0.970560
15.015000,0.979129
16.016000,0.987681
17.017000,0.889140
18.018000,0.944418
19.019000,0.963669
20.020000,0.769044
21.021000,0.735944
22.022000,0.688096
23.023000,0.972390
24.024000,0.660039
25.025000,0.773378
26.026000,0.734825
27.027000,0.737554
28.028000,0.974390
29.029000,0.978932
30.030000,0.977845
31.031000,0.988829
32.032000,0.983276
33.033000,0.966861
34.034000,0.972244
35.035000,0.983013
36.036000,0.977417
37.037000,0.959175
38.038000,0.943287
39.039000,0.883315
40.040000,0.984245
41.041000,0.823809
42.042000,0.931237
43.043000,0.949737
44.044000,0.895505
45.045000,0.871065
46.046000,0.930925
47.047000,0.811459
48.048000,0.967829
49.049000,0.931801
50.050000,0.718131
51.051000,0.989024
52.052000,0.714677
53.053000,0.969203
54.054000,0.954934
55.055000,0.947209
56.056000,0.945229
57.057000,0.965788
58.058000,0.981135
59.059000,0.967047
60.060000,0.952543
61.061000,0.879233
62.062000,0.957397
63.063000,0.938523
64.064000,0.947463
65.065000,0.882173
66.066000,0.947515
67.067000,0.973525
68.068000,0.951349
69.069000,0.953300
70.070000,0.937597
71.071000,0.943535
72.072000,0.923802
73.073000,0.981931
74.074000,0.859860
75.075000,0.937311
76.076000,0.953971
77.077000,0.886766
78.078000,0.704812
79.079000,0.709204
80.080000,0.977156
81.081000,0.947196
82.082000,0.650496
83.083000,0.993044
84.084000,0.700327
85.085000,0.767169
86.086000,0.921740
87.087000,0.865956
88.088000,0.950252
89.089000,0.960442
90.090000,0.960543
91.091000,0.675646
92.092000,0.980263
93.093000,0.674661
94.094000,0.933441
95.095000,0.918147
96.096000,0.818880
97.097000,0.904460
98.098000,0.933480
99.099000,0.928293
100.100000,0.922110
101.101000,0.925202
102.102000,0.936186
103.103000,0.945578
104.104000,0.841012
105.105000,0.719903
106.106000,0.951881
107.107000,0.753894
108.108000,0.952680
109.109000,0.739070
110.110000,0.975323
111.111000,0.828329
112.112000,0.932743
113.113000,0.918441
114.114000,0.831091
115.115000,0.970477
116.116000,0.966511
117.117000,0.962773
118.118000,0.947580
119.119000,0.931904
120.120000,0.937568
121.121000,0.974465
122.122000,0.965504
123.123000,0.783581
124.124000,0.652961
125.125000,0.929519
126.126000,0.928837
127.127000,0.947795
128.128000,0.783484
129.129000,0.908221
130.130000,0.960683
131.131000,0.665485
132.132000,0.611291
133.133000,0.948246
134.134000,0.625338
135.135000,0.965955
136.136000,0.960716
137.137000,0.938598
138.138000,0.814420
139.139000,0.871268
140.140000,0.928796
141.141000,0.761132
142.142000,0.768841
143.143000,0.940075
144.144000,0.972685
145.145000,0.768636
146.146000,0.706013
147.147000,0.967998
148.148000,0.957583
149.149000,0.753224
150.150000,0.968250
151.151000,0.965239
152.152000,0.964356
153.153000,0.716118
154.154000,0.966915
155.155000,0.944432
156.156000,0.946485
157.157000,0.668221
158.158000,0.964779
159.159000,0.944765
160.160000,0.667915
161.161000,0.853294
162.162000,0.740811
163.163000,0.979112
164.164000,0.749968
165.165000,0.969823
166.166000,0.805241
167.167000,0.787642
168.168000,0.977215
169.169000,0.562929
170.170000,0.986934
171.171000,0.739415
172.172000,0.953791
173.173000,0.794608
174.174000,0.886847
175.175000,0.918958
176.176000,0.717561
177.177000,0.710241
178.178000,0.978483
179.179000,0.736326
180.180000,0.958525
181.181000,0.934598
182.182000,0.941109
183.183000,0.600618
184.184000,0.955867
185.185000,0.963747
186.186000,0.975925
187.187000,0.740458
188.188000,0.990443
189.189000,0.771776
190.190000,0.953007
191.191000,0.930870
192.192000,0.652513
193.193000,0.984429
194.194000,0.980586
195.195000,0.986377
196.196000,0.986790
197.197000,0.976853
198.198000,0.660837
199.199000,0.968161
200.200000,0.990747
201.201000,0.995251
202.202000,0.978212
203.203000,0.686839
204.204000,0.969142
205.205000,0.687513
206.206000,0.947632
207.207000,0.658707
208.208000,0.860064
209.209000,0.659945
210.210000,0.920023
211.211000,0.739968
212.212000,0.970645
213.213000,0.962415
214.214000,0.684901
215.215000,0.994717
216.216000,0.995877
217.217000,0.990700
218.218000,0.650613
219.219000,0.983259
220.220000,0.678708
221.221000,0.918192
222.222000,0.678785
223.223000,0.681661
224.224000,0.878252
225.225000,0.730758
226.226000,0.881406
227.227000,0.948211
228.228000,0.877879
229.229000,0.948641
230.230000,0.772689
231.231000,0.950460
232.232000,0.630397
233.233000,0.925843
234.234000,0.980580
235.235000,0.657309
236.236000,0.916794
237.237000,0.680921
238.238000,0.726455
239.239000,0.842237
240.240000,0.926306
241.241000,0.676302
242.242000,0.949597
243.243000,0.733701
244.244000,0.875652
245.245000,0.700708
246.246000,0.924810
247.247000,0.706695
248.248000,0.888407
