time_sec,cos_sim_adjacent
1.001001,0.905820
2.002002,0.754503
3.003003,0.622650
4.004004,0.794222
5.005005,0.816713
6.006006,0.503522
7.007007,0.578829
8.008008,0.925173
9.009009,0.961306
10.010010,0.962693
11.011011,0.976117
12.012012,0.588620
13.013013,0.612246
14.014014,0.917941
15.015015,0.547458
16.016016,0.918047
17.017017,0.868330
18.018018,0.839142
19.019019,0.893121
20.020020,0.652287
21.021021,0.917087
22.022022,0.614001
23.023023,0.660027
24.024024,0.947053
25.025025,0.959781
26.026026,0.779019
27.027027,0.942432
28.028028,0.949230
29.029029,0.968886
30.030030,0.846068
31.031031,0.948463
32.032032,0.974627
33.033033,0.599963
34.034034,0.905070
35.035035,0.939713
36.036036,0.925431
37.037037,0.743760
38.038038,0.918418
39.039039,0.867118
40.040040,0.899603
41.041041,0.685990
42.042042,0.941979
43.043043,0.920764
44.044044,0.798580
45.045045,0.919419
46.046046,0.895784
47.047047,0.910373
48.048048,0.937479
49.049049,0.684397
50.050050,0.838345
51.051051,0.977862
52.052052,0.764518
53.053053,0.593987
54.054054,0.774022
55.055055,0.967866
56.056056,0.831255
57.057057,0.855246
58.058058,0.963719
59.059059,0.683409
60.060060,0.957225
61.061061,0.769598
62.062062,0.841921
63.063063,0.822868
64.064064,0.841118
65.065065,0.907472
66.066066,0.918447
67.067067,0.936893
68.068068,0.828281
69.069069,0.769498
70.070070,0.977634
71.071071,0.503123
72.072072,0.594464
73.073073,0.935768
74.074074,0.579775
75.075075,0.952251
76.076076,0.967087
77.077077,0.682896
78.078078,0.942546
79.079079,0.802923
80.080080,0.995852
81.081081,0.977833
82.082082,0.622575
83.083083,0.924716
84.084084,0.958822
85.085085,0.943609
86.086086,0.931405
87.087087,0.918158
88.088088,0.936396
89.089089,0.934385
90.090090,0.595466
91.091091,0.927583
92.092092,0.887211
93.093093,0.878837
94.094094,0.924065
95.095095,0.593193
96.096096,0.964145
97.097097,0.992524
98.098098,0.591818
99.099099,0.956249
100.100100,0.968360
101.101101,0.610086
102.102102,0.969801
103.103103,0.956752
104.104104,0.977872
105.105105,0.620058
106.106106,0.943488
107.107107,0.978896
108.108108,0.967117
109.109109,0.529427
110.110110,0.709753
111.111111,0.957223
112.112112,0.970936
113.113113,0.611132
114.114114,0.662210
115.115115,0.915710
116.116116,0.518508
117.117117,0.967470
118.118118,0.966954
119.119119,0.654794
120.120120,0.884822
121.121121,0.964016
122.122122,0.532657
123.123123,0.672393
124.124124,0.919682
125.125125,0.528633
126.126126,0.893142
127.127127,0.930423
128.128128,0.966578
129.129129,0.911196
130.130130,0.514911
131.131131,0.959481
132.132132,0.967958
133.133133,0.964121
134.134134,0.973063
135.135135,0.667379
136.136136,0.941094
137.137137,0.819881
138.138138,0.696106
139.139139,0.923068
140.140140,0.968058
141.141141,0.848453
142.142142,0.982322
143.143143,0.977689
144.144144,0.623280
145.145145,0.962588
146.146146,0.660877
147.147147,0.956269
148.148148,0.950174
149.149149,0.855832
150.150150,0.892723
151.151151,0.867615
152.152152,0.906957
153.153153,0.510667
154.154154,0.974688
155.155155,0.915339
156.156156,0.600569
157.157157,0.931809
158.158158,0.870495
159.159159,0.874965
160.160160,0.888659
161.161161,0.842070
162.162162,0.856235
163.163163,0.767574
164.164164,0.822090
165.165165,0.937465
166.166166,0.581152
167.167167,0.988902
168.168168,0.579898
169.169169,0.891260
170.170170,0.907040
171.171171,0.629183
172.172172,0.909290
173.173173,0.959981
174.174174,0.955928
175.175175,0.625056
176.176176,0.974996
177.177177,0.634251
178.178178,0.979422
179.179179,0.984479
180.180180,0.966356
181.181181,0.556129
182.182182,0.959999
183.183183,0.648930
184.184184,0.870244
185.185185,0.903807
186.186186,0.911659
187.187187,0.688255
188.188188,0.700843
189.189189,0.950460
190.190190,0.660568
191.191191,0.660536
192.192192,0.732527
193.193193,0.954597
194.194194,0.735538
195.195195,0.766683
196.196196,0.763889
197.197197,0.770939
198.198198,0.677593
199.199199,0.726235
200.200200,0.564076
201.201201,0.639433
202.202202,0.716303
203.203203,0.903529
204.204204,0.552118
205.205205,0.950351
206.206206,0.911417
207.207207,0.661357
208.208208,0.982597
209.209209,0.721911
210.210210,0.579007
211.211211,0.652727
212.212212,0.943740
213.213213,0.643384
214.214214,0.994958
215.215215,0.790940
216.216216,0.991426
217.217217,0.714914
218.218218,0.537178
219.219219,0.944919
220.220220,0.679844
221.221221,0.950943
222.222222,0.709692
223.223223,0.866803
224.224224,0.919544
225.225225,0.699329
226.226226,0.950954
227.227227,0.965286
228.228228,0.945081
229.229229,0.732666
230.230230,0.592110
231.231231,0.601067
232.232232,0.976449
233.233233,0.696570
234.234234,0.975026
235.235235,0.974379
236.236236,0.681849
237.237237,0.971654
238.238238,0.683469
239.239239,0.963712
240.240240,0.695935
241.241241,0.951074
242.242242,0.564819
243.243243,0.683209
244.244244,0.918221
245.245245,0.540567
246.246246,0.962163
247.247247,0.611804
248.248248,0.957639
249.249249,0.935034
